feature,importance
target_next_hour,51.593225142204695
time_of_the_day,6.863178740924569
pm25_avg_lag18,4.333298309804352
Season,3.733404732286775
hour_sin,3.1908562298371383
day_of_year_cos,2.6925904482291263
ventilation_coeff,1.4433528426737199
hour_cos,1.2196763909939856
day_of_year_sin,1.1659549664033944
month_cos,1.1536836094882448
dew_point,1.150249870817745
relative_humidity_2m_lag6,1.0926960323180248
pm25_avg_lag12,1.0072056505544071
rush_hour_weekday,0.9569608819510542
wind_direction_10m,0.9199582107893561
surface_pressure,0.9140865645197973
pm25_avg,0.9072692276147711
month_sin,0.8654446243217553
wind_magnitude,0.7925138226328651
relative_humidity_2m_lag3,0.7637028780743477
wind_stagnation_index,0.7522305957658657
is_weekend,0.7237750398474293
pm25_avg_rolling_mean_12h,0.6468082275245217
wind_speed_10m_lag1,0.634351633313878
wind_speed_10m,0.6287794879585189
wind_speed_10m_rolling_mean_3h,0.5497689738589275
pm25_avg_trend_6h,0.5274490393372212
pm25_avg_rolling_std_3h,0.5212732329052694
wind_v,0.5059629539113523
pm25_avg_lag2,0.4843933491640043
temperature_2m_rolling_mean_3h,0.4733529546805106
pm25_avg_rolling_mean_3h,0.46560712688098704
pm25_avg_rolling_mean_6h,0.458517702454969
relative_humidity_2m_lag1,0.4582734389650978
pm25_avg_lag24,0.44212797725190245
pm25_avg_lag6,0.43177835406051257
wind_u,0.43014819834379425
pm25_avg_diff_1h,0.39073710056575406
pm25_avg_lag3,0.37191032846103234
temperature_2m_lag1,0.36292252127978164
pm25_avg_lag1,0.36068327722254717
wind_speed_10m_lag6,0.333818042049655
relative_humidity_2m,0.33053737075561934
is_stagnant_humid,0.2992902315258135
pm25_avg_lag4,0.2934254246143463
relative_humidity_2m_rolling_mean_3h,0.2803698334993743
pm25_avg_trend_3h,0.2419235692753507
pm25_avg_rolling_std_6h,0.21064839604877086
wind_speed_10m_lag3,0.16448366886674004
pm25_acceleration,0.13706388554576462
pm25_avg_lag5,0.08539869363259316
pm25_delta,0.07192534201074814
precipitation,0.06389524412047216
precipitation_lag6,0.05134734368063057
precipitation_lag1,0.04379239040343262
precipitation_lag3,0.0062682003204474375
special_holidays,0.005651673456301531
Monday_start,0.0
coverage_pct,0.0
